step,epoch,train_cnt,avg_reward,avg_q,epsilon,time
860000,17,860000,6.15625,0.339521940099,0.01,51409.983017
870000,17,870000,5.72727272727,0.335451661725,0.01,52137.9526331
880000,17,880000,6.03191489362,0.344549037227,0.01,52872.0694909
890000,17,890000,6.048,0.345609570388,0.01,53613.4833281
900000,18,900000,6.00641025641,0.345328542647,0.01,54327.9622591
910000,18,910000,5.0,0.371150566865,0.01,55086.925436
920000,18,920000,4.92537313433,0.366474682022,0.01,55825.2707829
930000,18,930000,4.5046728972,0.360665888525,0.01,56556.068871
940000,18,940000,4.55633802817,0.361070577003,0.01,57291.1862609
950000,19,950000,4.62146892655,0.362117230335,0.01,58013.0677171
960000,19,960000,6.5,0.384384713126,0.01,58789.6469941
970000,19,970000,6.85714285714,0.377399691759,0.01,59526.084147
