step,epoch,train_cnt,avg_reward,avg_q,epsilon,time
850000,17,850000,4.86285714286,0.319138630451,0.01,65978.2122049
860000,17,860000,6.25806451613,0.331011978976,0.01,66767.926214
870000,17,870000,5.40579710145,0.321266123635,0.01,67541.4779649
880000,17,880000,5.45192307692,0.32296773378,0.01,68322.6954911
890000,17,890000,5.30496453901,0.32335616328,0.01,69097.5875399
900000,18,900000,4.98895027624,0.323029757117,0.01,69857.797838
910000,18,910000,6.33333333333,0.327150027556,0.01,70652.608207
920000,18,920000,6.38596491228,0.322844406401,0.01,71418.768364
930000,18,930000,6.38823529412,0.328591626815,0.01,72194.1119199
940000,18,940000,6.42608695652,0.333675768007,0.01,72976.465239
950000,19,950000,6.6524822695,0.333014239805,0.01,73749.0138869
960000,19,960000,7.0,0.350427223738,0.01,74542.3813059
970000,19,970000,7.03703703704,0.349826661588,0.01,75313.2019649
980000,19,980000,7.3625,0.350057426804,0.01,76095.124871
990000,19,990000,7.37735849057,0.352545197996,0.01,76878.5439129
1000000,20,1000000,7.46212121212,0.354613259401,0.01,77644.7732089
1010000,20,1010000,7.91666666667,0.359590248262,0.01,78435.917444
1020000,20,1020000,8.67391304348,0.35356774122,0.01,79214.4641159
1030000,20,1030000,9.01428571429,0.356569149997,0.01,79978.479877
1040000,20,1040000,8.87234042553,0.361218918445,0.01,80748.831562
1050000,21,1050000,8.79487179487,0.361495851309,0.01,81509.7589259
1060000,21,1060000,9.13636363636,0.363596962903,0.01,82317.9034369
1070000,21,1070000,8.71739130435,0.372619931623,0.01,83080.0361159
1080000,21,1080000,8.64285714286,0.378168270103,0.01,83854.017586
1090000,21,1090000,8.48936170213,0.378060908679,0.01,84627.6197801
1100000,22,1100000,8.35,0.380713618151,0.01,85394.408066
1110000,22,1110000,9.95238095238,0.382514682669,0.01,86204.044867
1120000,22,1120000,10.6428571429,0.382851111597,0.01,86976.9835401
1130000,22,1130000,10.737704918,0.390467181861,0.01,87757.853225
1140000,22,1140000,10.9146341463,0.395344457851,0.01,88530.975863
1150000,23,1150000,10.9509803922,0.396794742895,0.01,89287.5843959
1160000,23,1160000,12.4,0.40660712316,0.01,90080.7555881
1170000,23,1170000,11.925,0.409320036443,0.01,90836.6232369
1180000,23,1180000,11.6666666667,0.415097559789,0.01,91627.5214441
1190000,23,1190000,11.7721518987,0.418021074869,0.01,92389.696665
1200000,24,1200000,11.8383838384,0.419671381841,0.01,93149.0189669
1210000,24,1210000,12.5555555556,0.448636993981,0.01,93941.3474009
1220000,24,1220000,13.3611111111,0.442396532552,0.01,94708.1145039
1230000,24,1230000,12.9818181818,0.443826165421,0.01,95483.033062
1240000,24,1240000,12.5405405405,0.444888771437,0.01,96246.724273
1250000,25,1250000,12.8021978022,0.442004829038,0.01,97024.366993
1260000,25,1260000,15.4705882353,0.439675211844,0.01,97812.3544049
1270000,25,1270000,15.3333333333,0.445359590393,0.01,98578.708231
1280000,25,1280000,15.56,0.451288657977,0.01,99350.4258749
1290000,25,1290000,15.0151515152,0.451303563475,0.01,100126.19694
1300000,26,1300000,15.0722891566,0.451994149617,0.01,100909.302852
1310000,26,1310000,16.3125,0.452155271971,0.01,101711.728631
1320000,26,1320000,16.59375,0.460963632699,0.01,102492.311427
1330000,26,1330000,16.9166666667,0.463427270611,0.01,103256.758706
1340000,26,1340000,16.40625,0.46603493098,0.01,104021.980103
1350000,27,1350000,16.9746835443,0.469072053147,0.01,104802.292542
1360000,27,1360000,13.75,0.470290422171,0.01,105619.33204
1370000,27,1370000,13.0285714286,0.470743853228,0.01,106378.846188
1380000,27,1380000,13.1923076923,0.472665783417,0.01,107142.970459
1390000,27,1390000,13.6086956522,0.474727574104,0.01,107907.286874
1400000,28,1400000,14.0,0.475368764648,0.01,108667.372489
